revolving_util,age,past_due_30_59,debt_ratio,monthly_income,open_credit_lines,times_90_late,real_estate_loans,past_due_60_89,dependents
-0.012896931143638818,-0.0028946898983107988,-0.003233455742307803,-0.0004752802970398481,0.00027100323590537116,0.0007958622016113918,-0.008931426190630462,-0.00016524855413113762,-0.02111958810159859,-4.728885277201951e-05
0.002597779135902742,-0.011769447465398921,-0.0031562314555572983,0.002687930205090098,0.004627117764973078,-0.007734405198147928,0.0,-0.002797932917168328,0.0,0.00038927912216824256
-0.008427141138551399,-0.0015895666613707344,-0.012684628814873963,-0.0003586321344867346,-0.0019127980358656608,-0.0017507545128259143,0.0,-0.0012171030136544836,-0.0033993316674822754,-2.3240540847898823e-05
-0.004113759832245987,-0.002368842131695148,0.0,0.0001661182378588382,-0.0003229544525055731,-5.6744080613817946e-05,-0.0246151530166879,-0.0009204036348272628,0.0,-1.584654859245957e-05
-0.0076254343590456365,-0.003635704213769338,-0.0049215758808919315,-0.0002521524765750939,-0.0003652642002058386,0.0013760788998835242,0.0,-0.0008120893188986119,0.0,-2.1428932566821406e-05
-0.020772490422099815,-0.002654017465092141,0.0,0.0002013532449124592,-0.0003999590487082284,-0.000930809406684744,0.0,-0.001578118526274285,0.0,-0.0002294965019305601
-0.008404656186242386,-0.0013443084239788822,-0.001391028861546539,-0.0001267577566289318,-0.0008082907829553943,-0.0016114320699619107,0.0,-0.0003298551394675499,0.0,1.8551952786944725e-05
-0.09730828303656067,0.056259737801869304,0.0850754642046134,0.007808575089017977,0.09478287231319046,0.07692634159713958,0.021070416543319315,-0.034659464255185256,0.04168157380283832,-0.01264444278387462
-0.016051944065559424,0.0028287329474626297,-0.007781779767292855,-0.004082936178468927,-0.0002648993671469198,-0.0035972471067438395,0.0,-0.0007016541411313194,-0.02187727075825945,-0.00083343666844572
-0.05727322472642402,0.005369785922789028,0.014925403721576063,0.00366454350884808,-0.002910286093931507,-0.0021133469025140746,-0.015000247874805805,-0.0029459447984624748,0.0,-0.0004172522722314262
-0.016209395307215567,0.0013055431860080455,-0.002259899427774878,0.0006446261053279758,-0.0011944089440817048,-0.0021607400311683084,0.0,-0.0012176915549846983,-0.005042369019042982,5.1944896276243276e-05
-0.02037641899331614,0.00029802366254261714,-0.00786482666885545,-0.0045635615898206834,-0.0017853769662517186,0.0027344744982127325,-0.008548868914507946,-0.004201556298214334,0.0,0.00024197029384852073
-0.01317860178815645,-0.001811548382822568,-0.006815984025245468,-1.5765331268175267e-05,-8.904674826580037e-05,-0.000993012329296534,-0.022443472165234846,-0.0017272719372598254,-0.004368862099732286,-0.0002098333474328102
0.05243026764214964,-0.030524830897853107,-0.023203464290203153,-0.029174161311230618,-0.00022165169103352048,0.025075940688943133,-0.01599109173249435,-0.000215565928944228,0.0,0.000736748651694065
-0.0035898655368575027,-0.004206526220819956,-0.009406573107793885,-0.0005520447863172065,0.002343262684874766,-0.0020793746505216033,-0.006551228843451121,-0.0014695058710353908,-0.009361210446946048,-0.00010382034568302435
0.08234107690017833,0.01781369133327242,-0.012844463253872961,-0.02612363216481266,0.022980553160512535,-0.015604090026898387,0.0,0.006079769072105451,0.0,0.030755769729278532
0.004618829142635025,0.006778048975505093,-0.014227219262999833,-0.007087984261346575,0.00018514401738725303,-0.007840698938551747,0.0,-0.002234759311873815,-0.011544856729175384,-0.000209317627784468
