Model,Accuracy,Precision,Recall,F1,ROC-AUC,Threshold
LogisticRegression,0.6302666666666666,0.14165154980676709,0.8957605985037407,0.2446199945518932,0.8613910927271926,0.3
RandomForest,0.6519666666666667,0.14867566216891553,0.8902743142144638,0.2547998001570195,0.8668199567165314,0.3
GradientBoosting (XGB proxy),0.929,0.46414228341939184,0.40349127182044886,0.43169690501600855,0.8688848070928233,0.3
